Filename,CamId,Year,Latitude,Longitude,Month,Day,Timezone,Hour,Min,TempM,TempI,TempClass
20130101_130310.jpg,65,2013,32.9814865,-111.5297172,1,1,-7,5,15,-1,30.2,Cold Caution
20130101_143305.jpg,65,2013,32.9814865,-111.5297172,1,1,-7,7,35,-1,30.2,Cold Caution
20130101_200307.jpg,65,2013,32.9814865,-111.5297172,1,1,-7,12,15,8,46.4,Safe
20130101_223307.jpg,65,2013,32.9814865,-111.5297172,1,1,-7,15,35,11,51.8,Safe
20130102_143309.jpg,65,2013,32.9814865,-111.5297172,1,2,-7,7,35,4,39.2,Safe
20130102_220313.jpg,65,2013,32.9814865,-111.5297172,1,2,-7,14,15,14,57.2,Safe
20130102_213310.jpg,65,2013,32.9814865,-111.5297172,1,2,-7,14,35,15,59.0,Safe
20130102_230309.jpg,65,2013,32.9814865,-111.5297172,1,2,-7,15,15,16,60.8,Safe
20130102_053317.jpg,65,2013,32.9814865,-111.5297172,1,2,-7,22,35,9,48.2,Safe
20130103_193308.jpg,65,2013,32.9814865,-111.5297172,1,3,-7,12,35,14,57.2,Safe
20130103_000309.jpg,65,2013,32.9814865,-111.5297172,1,3,-7,16,15,16,60.8,Safe
20130103_233310.jpg,65,2013,32.9814865,-111.5297172,1,3,-7,16,35,16,60.8,Safe
20130104_070306.jpg,65,2013,32.9814865,-111.5297172,1,4,-7,0,15,7,44.6,Safe
20130104_110313.jpg,65,2013,32.9814865,-111.5297172,1,4,-7,3,15,7,44.6,Safe
20130104_190305.jpg,65,2013,32.9814865,-111.5297172,1,4,-7,11,15,11,51.8,Safe
20130104_030312.jpg,65,2013,32.9814865,-111.5297172,1,4,-7,19,15,8,46.4,Safe
20130104_040310.jpg,65,2013,32.9814865,-111.5297172,1,4,-7,20,15,7,44.6,Safe
20130104_033306.jpg,65,2013,32.9814865,-111.5297172,1,4,-7,20,35,7,44.6,Safe
20130105_120312.jpg,65,2013,32.9814865,-111.5297172,1,5,-7,4,15,3,37.4,Safe
20130105_143307.jpg,65,2013,32.9814865,-111.5297172,1,5,-7,7,35,5,41.0,Safe
20130105_193304.jpg,65,2013,32.9814865,-111.5297172,1,5,-7,12,35,12,53.6,Safe
20130105_220311.jpg,65,2013,32.9814865,-111.5297172,1,5,-7,14,15,15,59.0,Safe
20130105_030312.jpg,65,2013,32.9814865,-111.5297172,1,5,-7,19,15,10,50.0,Safe
20130105_050308.jpg,65,2013,32.9814865,-111.5297172,1,5,-7,21,15,7,44.6,Safe
20130106_093309.jpg,65,2013,32.9814865,-111.5297172,1,6,-7,2,35,3,37.4,Safe
20130106_133309.jpg,65,2013,32.9814865,-111.5297172,1,6,-7,6,35,2,35.6,Safe
20130106_180309.jpg,65,2013,32.9814865,-111.5297172,1,6,-7,10,15,9,48.2,Safe
20130106_023312.jpg,65,2013,32.9814865,-111.5297172,1,6,-7,19,35,11,51.8,Safe
20130107_123313.jpg,65,2013,32.9814865,-111.5297172,1,7,-7,5,35,2,35.6,Safe
20130107_160313.jpg,65,2013,32.9814865,-111.5297172,1,7,-7,8,15,2,35.6,Safe
20130107_163309.jpg,65,2013,32.9814865,-111.5297172,1,7,-7,9,35,6,42.8,Safe
20130107_220309.jpg,65,2013,32.9814865,-111.5297172,1,7,-7,14,15,12,53.6,Safe
20130107_003308.jpg,65,2013,32.9814865,-111.5297172,1,7,-7,17,35,12,53.6,Safe
20130107_013309.jpg,65,2013,32.9814865,-111.5297172,1,7,-7,18,35,9,48.2,Safe
20130108_200305.jpg,65,2013,32.9814865,-111.5297172,1,8,-7,12,15,12,53.6,Safe
20130108_203306.jpg,65,2013,32.9814865,-111.5297172,1,8,-7,13,35,15,59.0,Safe
20130108_020305.jpg,65,2013,32.9814865,-111.5297172,1,8,-7,18,15,11,51.8,Safe
20130109_080311.jpg,65,2013,32.9814865,-111.5297172,1,9,-7,0,15,5,41.0,Safe
20130109_120314.jpg,65,2013,32.9814865,-111.5297172,1,9,-7,4,15,2,35.6,Safe
20130109_203311.jpg,65,2013,32.9814865,-111.5297172,1,9,-7,13,35,18,64.4,Safe
20130109_213313.jpg,65,2013,32.9814865,-111.5297172,1,9,-7,14,35,19,66.2,Safe
20130109_230309.jpg,65,2013,32.9814865,-111.5297172,1,9,-7,15,15,19,66.2,Safe
20130109_020306.jpg,65,2013,32.9814865,-111.5297172,1,9,-7,18,15,14,57.2,Safe
20130109_033311.jpg,65,2013,32.9814865,-111.5297172,1,9,-7,20,35,8,46.4,Safe
20130109_043308.jpg,65,2013,32.9814865,-111.5297172,1,9,-7,21,35,7,44.6,Safe
20130110_130309.jpg,65,2013,32.9814865,-111.5297172,1,10,-7,2,55,7,44.6,Safe
